问题,标准回答,引用位置来源1,引用位置来源2,引用位置来源3,引用位置来源4,引用位置来源5
金盘科技的主要业务是什么,公司专注于变压器系列、成套系列、储能系列等产品的研发、生产及销售 。,,,,,
金盘科技的股票代码是多少,股票代码为 688676 ,,,,,
金盘科技的法定代表人是谁,公司的法定代表人是李辉,,,,,
金盘科技2025年前三季度的营业收入是多少,"2025年1-9月，公司实现营业收入5,194,303,709.34元，同比增长8.25% 。
","金盘科技：2025年第三季度报告.pdf, 第1页
",,,,
"金盘科技2025年前三季度的净
利润是多少","2025年1-9月，归属于上市公司股东的净利润为485,644,896.76元，同比增长20.27% 
","金盘科技：2025年第三季度报告.pdf， 第1页
",,,,
" 2025年上半年，金盘科技在数据中心领域的销售收入增长了多少？
",2025年上半年，公司在数据中心领域销售收入同比增长460.51% 。,"金盘科技：2025年半年度报告.pdf，第24页
",,,,
金盘科技有哪些知名的国际客户,"公司的主要客户包括维斯塔斯(VESTAS)、通用电气(GE)、西门子(SIEMENS)、杜克能源(Duke Energy)、茵梦达(Innomotics)、东芝三菱电机等国际知名企业 。
","金盘科技：浙商证券股份有限公司关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书.pdf，第1页
",,,,
"截至2025年6月30日，金盘科技的在手订单金额是多少？
","截至2025年6月30日，公司在手订单75.40亿元（不含税），同比增长14.89%，其中内销在手订单47.38亿元，外销在手订单28.02亿元 。
","金盘科技：2025年半年度报告.pdf，第24页
",,,,
"截至2025年6月30日，金盘科技可自由支配的资金有多少？
","截至2025年6月30日，公司可自由支配资金合计61,095.69万元。
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf，第24页
",,,,
"2024年金盘科技的经营活动现金流量净额为什么是负的？
","2024年公司经营活动产生的现金流量净额为负，主要系公司开发建设海南甲子光伏电站导致经营活动现金流出金额较大以及因光伏行业周期波动导致部分客户回款放缓所致 。
","金盘科技：浙商证券股份有限公司关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书.pdf 第8页
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf 第72页
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf 第117页
",,
"2025年美国对中国商品加征关税对金盘科技有何影响？
","2025年4月初美国对中国商品加征关税大幅提升 。由于美国对中国商品关税政策存在较大不确定性，未来美国对中国商品加征关税税率可能进一步提升，并存在频繁调整的风险，将对公司出口美国市场的相关业务产生不利影响 。
","金盘科技：浙商证券股份有限公司关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书.pdf
第12页
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 58 页","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 64 页","金盘科技：2025年半年度报告.pdf
第 44 页",
"金盘科技如何应对中美贸易摩擦带来的关税风险？
","公司的应对措施包括：积极与美国客户协商，将2025年加征的部分关税转移至美国客户 ；通过在马来西亚等低关税税率地区建厂 ；扩大在墨西哥通过 Shelter 模式生产后销售至美国的业务规模 ；以及逐步扩大美国子公司在本地生产和销售成套系列产品数量 。
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 59 页","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 60 页",,,
"截至2025年6月30日，金盘科技可自由支配的资金有多少？
","截至2025年6月30日，公司可自由支配资金合计61,095.69万元 。
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 24 页
",,,,
"金盘科技对天镇福光储能有限责任公司的应收账款为何逾期？
","逾期原因为：主管部门储能相关政策及结算细则出台晚于预期，导致该客户储能电站2024年暂未商业运行产生稳定收益，资金暂时较为紧张 。
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 89 页",,,,
"金盘科技与甘肃瓜州宝丰风能开发有限公司的质量纠纷是如何处理的？
","双方于2024年4月签署《协议书》，约定原合同总价款调减2,287.71万元 。
","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 88 页
",,,,
"截至2025年3月31日，金盘科技有多少研发人员？
","截至2025年3月31日，公司研发人员达410人，占公司总人数17.45% 。
","金盘科技：浙商证券股份有限公司关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书.pdf
第 5 页
","金盘科技：浙商证券股份有限公司关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书.pdf
第 10 页
",,,
"金盘科技的数字化转型带来了哪些效益？
","2020年-2023年，公司已陆续在海口、桂林、武汉等生产基地新建或改造7座数字化工厂 。较数字化产线投产前，人均产量平均超1.4倍、人均产值平均超1.8倍、单位产出额耗用人工成本和制造费用平均下降23% 。
","金盘科技：浙商证券股份有限公司关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书.pdf
第 6 页","金盘科技：中汇会计师事务所(特殊普通合伙)关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函有关财务问题回复的专项说明.pdf
第 49 页
",,,
金盘公司的注册地址在哪里？,海南省海口市南海大道168-39号 。,,,,,
金盘科技的控股股东是谁？,"海南元宇智能科技投资有限公司（简称“元宇投资”）
",,,,,
金盘科技的实际控制人是谁？,李志远和YUQING JING(靖宇清)夫妇 。,,,,,
"金盘科技首次公开发行股票的保荐人（主承销商）是哪家机构？
",浙商证券股份有限公司。,2020-05-12 金盘科技(688676).pdf,封面 / 概览,,,
金盘科技的财务审计机构是哪家？,中汇会计师事务所(特殊普通合伙)。,,,,,
根据2020年招股说明书，公司的主营业务是什么？,主要从事应用于新能源、高端装备、节能环保等领域的输配电及控制设备产品的研发、生产和销售。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 主营业务,,,
根据2024年年报，公司的主营业务是什么？,专注于中低压各类变压器系列、成套系列、储能系列等产品的研发、生产及销售，并提供数字化工厂整体解决方案。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 公司业务概要,,,
根据2020年招股说明书，公司的主要产品包括哪些？,干式变压器、干式电抗器、中低压成套开关设备、箱式变电站、电力电子设备等。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 主要产品,,,
根据2020年招股说明书，公司产品的主要原材料有哪些？,铜线、硅钢片、电气元器件、树脂等。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 采购情况,,,
2020年招股说明书中的“四大基地”分别指哪里？,海口、武汉、上海、桂林。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 生产模式,,,
2020年招股说明书提到的海口数字化工厂符合哪个德国标准？,德国工程师协会标准 VDI4499。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 核心技术,,,
2020年招股说明书识别了哪些主要风险？,行业周期波动、行业政策变化、原材料价格波动、中美贸易摩擦、毛利率下降、应收账款余额较大等。,2020-05-12 金盘科技(688676).pdf,第四节 风险因素,,,
根据2024年年报，公司的产品和服务遍布全球多少个国家？,87个国家。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
根据2023年年报，公司的产品和服务遍布全球多少个国家？,86个国家。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
根据2022年年报，公司的产品和服务遍布全球多少个国家和地区？,82个国家和地区。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2022年公司发行的可转换公司债券简称什么？,金盘转债。,2024-03-21 金盘科技：2023年年度报告.pdf,封面,,,
2024年报中提到，公司在全球的产能布局有何新进展？,完成墨西哥基地扩建，筹备美国变压器工厂建设，完成波兰工厂布局并实现首台产品下线。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2022年7月，公司发布了全球首例什么技术的储能系统？,中高压直挂全液冷热管理技术的储能系统。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2020年招股说明书中的“JST USA”是指哪家公司？,"JST Power Equipment, Inc.。",2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 境外子公司,,,
2024年报中提到，公司在2024年成功研发了哪款SFC产品？,适用于海拔5000米、容量40000kVA的抽蓄SFC产品。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
2020年招股说明书中，公司的“VPI”技术是指什么？,真空压力浸渍（Vacuum Pressure Impregnation）。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 核心技术,,,
2024年年报中提到的“AIDC”是指什么？,人工智能数据中心（Artificial Intelligence Data Center）。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2020年招股说明书中，公司主要产品的应用领域有哪些？,新能源、高端装备、节能环保、新型基础设施、工业企业电气配套等。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 主要产品应用领域,,,
2017年公司获得了西门子歌美飒（SIEMENS Gamesa）的什么荣誉？,“最佳创新供应商”。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 行业地位,,,
公司参与制定了哪些国家或行业标准？,GB/T22072-2018（干式非晶合金铁心配电变压器...）、NB/T 10088-2018（户外型光伏逆变成套装置...）等。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 核心技术,,,
金盘科技2024年的营业收入和归母净利润分别是多少？,营收：69.01亿元；归母净利润：5.74亿元。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
金盘科技2023年的营业收入和归母净利润分别是多少？,营收：66.68亿元；归母净利润：5.05亿元。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
金盘科技2022年的营业收入和归母净利润分别是多少？,营收：47.46亿元；归母净利润：2.83亿元。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
金盘科技2021年的营业收入和归母净利润分别是多少？,营收：33.03亿元；归母净利润：2.35亿元。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
金盘科技2020年的营业收入和归母净利润分别是多少？,营收：24.23亿元；归母净利润：2.32亿元。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据(上年同期),,,
2020年招股说明书显示，2019年的营业收入和净利润分别是多少？,营收：22.44亿元；净利润：2.10亿元。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并利润表,,,
2020年招股说明书显示，2018年的营业收入和净利润分别是多少？,营收：21.85亿元；净利润：1.97亿元。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并利润表,,,
2020年招股说明书显示，2017年的营业收入和净利润分别是多少？,营收：20.11亿元；净利润：0.65亿元。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并利润表,,,
金盘科技2025年半年度的营收和归母净利润分别是多少？,营收：31.54亿元；归母净利润：2.65亿元。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
金盘科技2024年半年度的营收和归母净利润分别是多少？,营收：29.16亿元；归母净利润：2.22亿元。,2024-08-10 金盘科技：2024年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
金盘科技2023年半年度的营收和归母净利润分别是多少？,营收：28.93亿元；归母净利润：1.91亿元。,2023-08-30 金盘科技：2023年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
金盘科技2022年半年度的营收和归母净利润分别是多少？,营收：19.75亿元；归母净利润：0.96亿元。,2022-08-30 金盘科技：2022年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
金盘科技2021年半年度的营收和归母净利润分别是多少？,营收：14.92亿元；归母净利润：1.12亿元。,2021-08-20 金盘科技：2021年半年度报告全文.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
金盘科技2024年的研发投入占营业收入的比例是多少？,5.15%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
金盘科技2023年的研发投入占营业收入的比例是多少？,5.27%。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
金盘科技2022年的研发投入占营业收入的比例是多少？,5.21%。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
金盘科技2021年的研发投入占营业收入的比例是多少？,4.77%。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
2020年招股说明书显示，2019年研发投入占比是多少？,4.52%。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 主要财务指标,,,
2025年半年度报告显示，研发投入占比是多少？,4.64%。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2024年半年度报告显示，研发投入占比是多少？,4.97%。,2024-08-10 金盘科技：2024年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2024年公司在手订单金额为多少？,"650,939.22万元。",2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
截至2025年6月30日，公司在手订单金额为多少？,75.40亿元（不含税）。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2024年，公司主营业务收入中，“储能系列”的收入金额是多少？,"52,324.79万元。",2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业、分产品情况,,,
2024年，“数字化整体解决方案”的收入金额是多少？,"12,326.71万元。",2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业、分产品情况,,,
2024年，公司主营业务收入按内销外销划分，外销业务收入是多少？,"198,114.96万元。",2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分地区情况,,,
2023年，“储能系列”的收入金额是多少？,"41,417.24万元。",2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业、分产品情况,,,
2023年，“数字化整体解决方案”的收入金额是多少？,"7,082.76万元。",2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业、分产品情况,,,
2023年，外销业务收入是多少？,"117,745.07万元。",2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分地区情况,,,
2022年，“储能系列”的收入金额是多少？,"6,401.95万元。",2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业、分产品情况,,,
2022年，“数字化整体解决方案”的收入金额是多少？,"13,597.80万元。",2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业、分产品情况,,,
2020年招股说明书显示，2019年干式变压器系列占比多少？,75.23%。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 主营业务收入构成,,,
2020年招股说明书显示，2017年箱变系列占比多少？,20.07%。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 主营业务收入构成,,,
截至2024年12月31日，公司研发人员数量及占比？,408人，占总人数17.60%。,2025-04-03 金盘科技：2024年年度报告.pdf,第七节 股份变动及股东情况 / 员工情况,,,
截至2019年12月31日，占比最高的员工专业类别是什么？,生产人员，849人，占比48.40%。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
截至2019年12月31日，本科及以上学历员工占比多少？,28.56% (硕士及以上1.82%，本科26.74%)。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
截至2019年12月31日，40岁及以下员工占比多少？,82.33% (30岁及以下41.85%，31-40岁40.48%)。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
2019年，公司前五名客户合计销售收入占比是多少？,34.84%。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 销售情况,,,
2019年，公司的第一大客户是谁？销售收入是多少？,"通用电气(GE)，25,399.66万元。",2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 销售情况,,,
2017年，公司的第一大客户是谁？销售收入是多少？,"通用电气(GE)，17,811.26万元。",2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 销售情况,,,
2019年，采购金额占比最高的主要原材料是什么？,电磁线，占比27.08%。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 采购情况,,,
2017年，采购金额占比最高的主要原材料是什么？,电气元器件，占比25.46%。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 采购情况,,,
公司2017-2019年的经营活动现金流量净额分别是多少？,2017年: 0.72亿元; 2018年: 2.28亿元; 2019年: 2.73亿元。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并现金流量表,,,
公司2021-2023年的经营活动现金流量净额分别是多少？,2021年: 2.53亿元; 2022年: -1.04亿元; 2023年: 2.05亿元。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据(现金流量),,,
2017-2019年末的应收账款余额分别是多少？,2017年: 7.29亿元; 2018年: 8.75亿元; 2019年: 9.82亿元。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并资产负债表,,,
